Ecosystem services,Ecosystem components,Rating,Ecosystem types,Link_assessment,Link assessment,Justification
"Spiritual, artistic and symbolic services",Ocean geomorphology,A,Polar-Alpine ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Ocean geomorphology,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Ocean geomorphology,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Ocean geomorphology,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Ocean geomorphology,A,Palustrine Wetlands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Ocean geomorphology,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Ocean geomorphology,A,Semi-confined transitional waters,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Ocean geomorphology,A,Pelagic ocean waters and Deep Sea floors,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Ocean geomorphology,A,Anthropogenic marine systems,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Ocean geomorphology,A,Marine shelfs,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Ocean geomorphology,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Ocean geomorphology,A,Brackish tidal systems ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Soils and sediments,A,Tropical-subtropical and Temperate-boreal forests and woodlands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Soils and sediments,A,"Shrublands & shrubby woodlands, Savannas and grasslands ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Soils and sediments,A,Desert and Semi-deserts ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Soils and sediments,A,Polar-Alpine ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Soils and sediments,A,Intensive Land Use Systems - Agriculture and Croplands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Soils and sediments,A,Intensive Land Use Systems - Urban and Developed Area,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Soils and sediments,A,"Subterranean ecosystems (including Subterranean lithic systems, Subterranean freshwaters, Anthropogenic subterranean freshwaters and Subterranean tidal systems) ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Soils and sediments,A,Palustrine Wetlands ,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Soils and sediments,A,"Artificial Freshwaters, Lakes, Rivers and streams ",1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Soils and sediments,A,Semi-confined transitional waters,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Soils and sediments,A,Pelagic ocean waters and Deep Sea floors,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Soils and sediments,A,Anthropogenic marine systems,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Soils and sediments,A,Marine shelfs,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
"Spiritual, artistic and symbolic services",Soils and sediments,A,Shoreline systems (including Anthropogenic shorelines) and supralittoral coastal systems,1,Y,"All Ecosystem components have the potential to provide spiritual, artistic and symbolic services in all relevant ecosystem types"
